name,title,star,contents,date
같이 읽고 함께 나누는 독서수업방법,독서교육을 해보고 싶어지게 만드는 연수!!!,5점,"아이를 키우며 그림책과 동화책에 관심을 갖게 되었다.
감동적이고 재미있는 책들을 보면서 그냥 읽기에는 아깝고 아이들과 이 내용을 알차게 나눌 수 있는 방법들을 혼자 생각해보다가
아무래도 혼자하려니 한계가 있어 연수를 찾아보게 되었다.
들을 때마다 빨리 아이들과 함께 읽고 나누고 싶다는 설렘을 느끼게 될 정도로 유익하고 알찬 정보가 가득한 연수였다.
왜 독서교육이 필요한지, 독서를 어떻게 하면 좋을지, 독서를 싫어하는 아이들에게는 어떻게 접근하면 좋을지, 독서 후에 할 수 있는 활동은 무엇인지.... 짜임새 있으면서 짧은 시간 강의에 핵심만 들어있어서 어느 한 강좌도 흘려듣지 않았다.
요즘 학교에서 한권읽기 등 독서교육을 많이 하고 있는데
경험이 없어 어떻게 해야할지 감이 잡히지 않는 선생님들께 추천하고싶다.
나아가 다양한 활동을 통해 수업을 업그레이드 하고 싶은 분들께도 추천하고 싶다.",2023.07.28
강의의 품격,솔직히 말씀드리자면 내용도 올드하고 음향은 정말 듣기 힘들었습니다.,3점,비추천합니다. 새로울 것 없는 내용과 화질 안 좋은 것은 참겠는데 음향은 정말 괴로웠어요.,2023.07.27
신병주 교수의 왕으로 산다는 것,역사로 현재를 묻다,5점,"조선왕들의 역사를 통하여 현재를 묻는 거울이 된다.
균형있는 강의 내용과 치우침이 없는 중립적인 관점이 역사를 공부하는 나에게 큰 귀감이 되었다.",2023.07.27
메디컬 콘서트 1탄 - 현대인의 만성 질병,잘못 알고 있던 상식을 제대로 알 수 있는 계기가 되었어요,5점,잘못 알고 있던 의학 상식들을 제대로 알 수 있어 좋았어요,2023.07.27
정훈쌤의 뚝딱 칼림바,연주도 하고 힐링도 하고,5점,칼림바 연수에서 칼림바와 악보를 선물로 받았습니다. 학생들이 음악 강사와 칼림바 수업을 할 때 별 생각 없이 교실에 앉아 있었는데 이번에 티셀파 연수원에 수업이 있어서 수강하게 되었습니다.칼림바에 대해서 알고 간단한 연주도 하고 반주를 넣어서^^ 연주도 할 수 있게 되어 신기했어요. 강사님이 연주 하시는 곡을 들으며 요즘 마음이 많이 다운되어 있었는데 힐링 되는 느낌이었구요. 천천히 또 친절하게 알려주시고 연주해 주셔서 부담없이 들을 수 있는 좋은 강의였습니다.,2023.07.26
지리와 함께하는 인문학 티타임,즐겁고 재미있는 강의였습니다.,5점,감사합니다.,2023.07.26
메이슨의 패턴잉글리쉬,정말 좋았습니다!,5점,"그동안 영어 연수 많이 받았었는데, 1강부터 30강까지 이렇게 열심히 들은 연수는 없었던 것 같아요. 패턴을 따라하다보면 뭔가 막 잘 말할수 있을것 같고 그런 느낌이 들었습니다. 몇 번 더 복습하면 저도 자연스럽게 대화할수 있겠죠???",2023.07.26
7인의 전문의와 함께하는 메디컬 콘서트,유익한 연수,5점,막연한 의학 용어와 지식을 제대로 알게 되는 기회가 되었습니다. 들은 내용을 토대로 건강 관리에 힘쓰겠습니다. 감사합니다.,2023.07.25
어린이 생활세계로 열어가는 사회 교과서 이야기 (5~6학년),어린이 생활세계로 열어가는 사회 교과서 이야기 추천~!,5점,5학년을 여러해 담임하고 있습니다. 같은 학년을 반복해 하다보니 사회 과목은 아주 잘 가르칠 것 같지만... 꼭 그렇지도 않네요. 다양한고 재미있는 활동 중심으로 업그레이드 하고 싶어 이 연수를 듣게 되었습니다. 역시 듣기를 잘 했네요. 배움은 끝이 없는 것 같습니다. ^^ 감사합니다!,2023.07.24
한 번에 끝내는 법정연수 1,"한 번에 끝내는 법정연수, 추천~",5점,매년 들어야 하는 법정연수이지만 조금이라도 더 귀에 쏙쏙 들어오게 해 주는 강의가 감사합니다. T셀파는 그런 면을 잘 고려하여 만들어 주시네요. 이왕이면 귀에 쏙쏙! 머리에 쏙쏙! 들어오도록 구성을 만들고 강의력 좋은 강사님이 좋죠! T셀파 감사합니다. ^^,2023.07.24
